ID,Time,IPC∑÷¿‡
PAT098,2020,"G02B7/182, G02B7/02, G03F7/00"
PAT099,2021,"G03F9/00, G01B11/00"
PAT100,2021,"H01L21/027, G03F7/20"
PAT101,2021,"G03F9/00, G01B11/00, H01L21/027"
PAT102,2021,"G03F1/24, G03F1/26"
PAT103,2021,"G03F7/20, G06T7/00"
PAT104,2022,"G01N21/88, G01N21/33, G01N21/47, G01N21/956, G03F1/84"
PAT105,2022,"B41N1/14, B41C1/10, B41M1/06, G03F7/00, G03F7/004, G03F7/11"
PAT106,2018,"G03F7/20, G03F7/213, G03F7/22"
PAT107,2019,"G06N3/0455, G06N3/0464, G06N3/08, G03F1/36, G03F7/20"
PAT108,2020,G03F1/36
PAT109,2020,"G03F7/00, B32B37/00, B81C1/00, B32B37/14, G03F9/00"
PAT110,2022,G03F7/20
PAT111,2021,G03F1/70
PAT112,2023,"G03F7/20, G01B9/02, G02B7/00, G02B27/62"
PAT113,2023,"G03F7/40, B08B3/08, G03F7/20, H01L21/02, H01L21/027"
PAT114,2021,"C11D7/26, C11D3/20, C11D7/50, G03F1/68, G03F7/00, G03F7/42"
PAT115,2021,"G03F7/00, G01N21/956, G03F9/00, G06T7/00, G06T7/33, G06T7/73, G06V10/24, H01L21/66, H01L23/544, H04N23/56"
PAT116,2020,"G03F7/00, G03F7/20"
PAT117,2022,"H01L21/285, C23C16/02, C23C16/455, C23C16/50, C23C16/52, H01J37/32, H01L21/02"
PAT118,2022,"H01L21/66, H01L21/78, H01L23/10, H01L23/31, H01L23/544"
PAT119,2021,"G05B13/02, G03F7/20"
PAT120,2023,"G03F7/20, G02B19/00"
PAT121,2023,"G03F7/004, G03F7/20"
PAT122,2022,G03F7/20
PAT123,2021,"G06F30/23, G06F17/16, G03F7/20"
PAT124,2020,"G03F1/82, G03F7/16, G03F7/20, H01L21/687"
PAT125,2022,G03F7/20
PAT126,2022,"G03F1/62, C23C14/06"
PAT127,2021,"G03F7/20, G02B7/00, G02B7/02, G02B7/182"
PAT128,2019,"G03F7/20, H01L21/027, H01L21/67"
PAT129,2021,"G03F7/20, H05G2/00"
PAT130,2023,G03F7/20
PAT131,2019,"G03F7/20, G03F7/16, H01L21/027"
PAT132,2021,"G03F7/20, G02B7/02, G02B27/00"
PAT133,2020,"G03F7/20, G02F1/13"
PAT134,2020,"G03F7/20, B65G1/04, B65G1/16, G03F1/24, G03F1/66, H01L21/673"
PAT135,2021,"C03C15/00, C03C23/00, G03F1/24, G03F1/60"
PAT136,2021,"G03F1/24, C23C14/06, C23C14/08, C23C14/14, C23C14/34, C23C14/35, G03F1/32, G03F1/80"
PAT137,2021,"G03F7/20, H05G2/00"
PAT138,2021,"G03F7/004, G03F7/16, G03F7/20, G03F7/36, H01L21/027"
PAT139,2021,"G03F7/004, G03F7/095, G03F7/16, G03F7/32, G03F7/36, G03F7/40, H01L21/027"
PAT140,2020,G03F9/00
PAT141,2020,G03F7/20
PAT142,2017,"G03F7/20, G03F9/00"
PAT143,2022,"G03F7/20, G03F7/30"
PAT144,2021,"G03F7/20, G02B13/14, G02B13/18"
PAT145,2021,"B41N1/14, B41C1/10, B41M1/06, G03F7/00, G03F7/004, G03F7/027, G03F7/029, G03F7/033, G03F7/09, G03F7/11"
PAT146,2023,"C02F1/20, C02F1/44, G03F7/20, C02F103/04, C02F103/34"
PAT147,2021,"B41N3/03, G03F7/09, B41C1/10"
PAT148,2019,"G02B5/08, B32B18/00, C03C3/06, C03C10/04, C03C10/12, C03C19/00, G03F7/20"
PAT149,2022,G03F1/62
PAT150,2021,G03F7/20
PAT151,2022,"G03F1/62, G03F1/22"
PAT152,2019,G03F7/20
